French,English
comme,as
je,I
son,his
que,that
il,he
était,was
pour,for
sur,on
sont,are
avec,with
ils,they
être,be
à,at
un,one
avoir,have
ce,this
de,from
par,by
chaud,hot
mot,word
mais,but
que,what
certains,some
est,is
il,it
vous,you
ou,or
eu,had
la,the
de,of
à,to
et,and
un,a
dans,in
nous,we
peut,can
dehors,out
autre,other
étaient,were
qui,which
faire,do
leur,their
temps,time
si,if
volonté,will
comment,how
dit,said
un,an
chaque,each
dire,tell
ne,does
ensemble,set
trois,three
vouloir,want
air,air
bien,well
aussi,also
jouer,play
petit,small
fin,end
mettre,put
maison,home
lire,read
main,hand
port,port
grand,large
épeler,spell
ajouter,add
même,even
terre,land
ici,here
il faut,must
grand,big
haut,high
tel,such
suivre,follow
acte,act
pourquoi,why
interroger,ask
hommes,men
changement,change
allé,went
lumière,light
genre,kind
de,off
besoin,need
maison,house
image,picture
essayer,try
nous,us
encore,again
animal,animal
point,point
mère,mother
monde,world
près,near
construire,build
soi,self
terre,earth
père,father
tout,any
nouveau,new
travail,work
partie,part
prendre,take
obtenir,get
lieu,place
fabriqué,made
vivre,live
où,where
après,after
retour,back
peu,little
seulement,only
tour,round
homme,man
an,year
est venu,came
montrer,show
tous,every
bon,good
moi,me
donner,give
notre,our
sous,under
nom,name
très,very
par,through
juste,just
forme,form
phrase,sentence
grand,great
penser,think
dire,say
aider,help
faible,low
ligne,line
différer,differ
tour,turn
la cause,cause
beaucoup,much
signifier,mean
avant,before
bouge toi,move
droit,right
garçon,boy
vieux,old
trop,too
même,same
elle,she
tous,all
là,there
quand,when
en haut,up
utiliser,use
votre,your
chemin,way
sur,about
beaucoup,many
puis,then
les,them
écrivez,write
voudrais,would
comme,like
si,so
ces,these
son,her
long,long
faire,make
chose,thing
voir,see
lui,him
deux,two
a,has
regarder,look
plus,more
jour,day
pourrait,could
aller,go
venir,come
fait,did
nombre,number
son,sound
aucun,no
plus,most
personnes,people
ma,my
sur,over
savoir,know
eau,water
que,than
appel,call
première,first
qui,who
peut,may
vers le bas,down
côté,side
été,been
maintenant,now
trouver,find
diriger,head
supporter,stand
propre,own
page,page
devrait,should
pays,country
trouvé,found
répondre,answer
l'école,school
grandir,grow
étudier,study
encore,still
apprendre,learn
usine,plant
couvercle,cover
nourriture,food
soleil,sun
quatre,four
entre,between
Etat,state
garder,keep
œil,eye
jamais,never
dernier,last
laisser,let
pensée,thought
ville,city
arbre,tree
